country_name,alpha_3_code,date,school_closing,school_closing_flag,school_closing_notes,workplace_closing,workplace_closing_flag,workplace_closing_notes,cancel_public_events,cancel_public_events_flag,cancel_public_events_notes,restrictions_on_gatherings,restrictions_on_gatherings_flag,restrictions_on_gatherings_notes,close_public_transit,close_public_transit_flag,close_public_transit_notes,stay_at_home_requirements,stay_at_home_requirements_flag,stay_at_home_requirements_notes,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,restrictions_on_internal_movement_notes,international_travel_controls,international_travel_controls_notes,income_support,income_support_flag,income_support_notes,debt_contract_relief,debt_contract_relief_notes,fiscal_measures,fiscal_measures_notes,international_support,international_support_notes,public_information_campaigns,public_information_campaigns_flag,public_information_campaigns_notes,testing_policy,testing_policy_notes,contact_tracing,contact_tracing_notes,emergency_healthcare_investment,emergency_healthcare_investment_notes,vaccine_investment,vaccine_investment_notes,misc_wildcard,misc_wildcard_notes,confirmed_cases,deaths,stringency_index
Australia,AUS,2020-06-23,2.00,0,"Due to a cluster of COVID virus in Victoria, two primary schools have had to close. One of the cases reportedly from a person in hotel quarantine.   http://archive.vn/wip/TWecl",1.00,1,"as of 23 June most businesses in Australia have opened, many with a Covid safety plan in place, if required by the state. Some states have eased distancing requirement to 1 person per 2 square meters, others such as New South Wales are still at 1 person per 4 square meters for many places. This is state dependent: http://archive.vn/wip/iTSq5    http://archive.vn/9W8cP",1.00,0,"Based on state by state limitations to public gatherings and sizes. Some states are allowing sporting events with up to 500 people, some states (such as Victoria) still have fairly strict limitations to events and sizes. Weddings and funerals can be held in all states (differing limits to size and capacity) , but full list of attendees and phone numbers/emails must be kept for possible contact tracing.     http://archive.vn/9W8cP  http://archive.vn/pR0Yu  ",3.00,0,"Each state has their own limitation to gathering size. Victoria has the most restrictions on gathering size with public gatherings limited to 10 people, visitors in a home to 5, private worship or small religious ceremonies limited to 20 people plus officiant. Physical distancing of at least 1.5m from those you don't live with.     http://archive.vn/UhGEq    ",1.00,0,,0.00,,"From 23 June, no indication of stay at home policies. ",2.00,0,,4.00,"You can only travel to Australia if you are an Australian citizen, a permanent resident, an immediate family member of an Australian citizen or permanent resident or are a New Zealand citizen usually resident in Australia.  https://web.archive.org/web/20200723051855/https://covid19.homeaffairs.gov.au/travel-restrictions-0",1.00,1,http://archive.vn/wip/sRaE5  ,2.00,"This KPMG report (http://archive.vn/wip/adKge) has a breakdown of all of the tax and debt relief packages announced by states and federal government on deferral of payments, etc.  Based on the information here, I code this as broad debt/contract relief.     Some relief for small businesses, state and territory governments have various fiscal packages that include payroll tax relief for businesses and relief for households, discount utility bills (some regions, unsure what discount).   http://archive.vn/SofPj  http://archive.vn/wip/sRaE5",0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7474,102,52.31
Australia,AUS,2020-06-24,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,,0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7492,102,52.31
Australia,AUS,2020-06-25,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,,0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,"June 25th  Victoria introduces a ‘suburban testing blitz’  ""...all residents of these suburbs will be eligible for free testing, with or without symptoms, with a priority on testing symptomatic cases.  Door to door testing was added to cover everyone, with the majority of those tested obviously being asymptomatic:  Victoria Source: https://web.archive.org/web/20200711095843/https://www.dhhs.vic.gov.au/sites/default/files/documents/202006/2001628_COVID-19_COVID-19%20suburban%20testing%20blitz.pdf  They have started to test every single house regardless of symptoms or not:  ""Health workers going door-to-door to test residents in these hotspots will be using a new type of saliva test developed by the Peter Doherty Institute for Infection and Immunity that is less invasive, and painful, than nose and throat swabs.  ""Mr Andrews urged everyone to agree to be tested if a health worker knocks on their door.""  https://web.archive.org/web/20200627072421/https://www.smh.com.au/politics/federal/testing-blitz-to-target-coronavirus-hotspots-as-state-records-33-new-cases-20200625-p555yp.html  Some residents refused testing in the door to door blanket testing. Victoria’s Health Minister Jenny Mikakos has urged residents living in Melbourne’s coronavirus hotspots to get tested after more than 10,000 people rejected approaches by health workers to be swabbed. More than 164,000 Victorians have been tested as part of a blitz launched last Thursday, with local lockdowns now in place to contain growing suburban outbreaks.  Media article : https://web.archive.org/web/20200705205105/https://www.sbs.com.au/news/health-officials-raise-conspiracy-concerns-as-10-000-refuse-coronavirus-tests-in-victoria  ",2.00,,0.0,,0.0,,,,7521,103,52.31
Australia,AUS,2020-06-26,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,,0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7558,104,52.31
Australia,AUS,2020-06-27,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,,0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7595,104,52.31
Australia,AUS,2020-06-28,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,,0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7641,104,52.31
Australia,AUS,2020-06-29,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,"June 29  “While public transport has been exempt from day one of the pandemic, patronage reduced by nearly 70% as Tasmanians stayed home to slow the spread, providing essential travellers with more room on board”  Source: https://web.archive.org/web/20200630005914/https://www.metrotas.com.au/communication/blog/2020/covid-19-coronavirus-advice-to-all-passengers/",0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7686,104,52.31
Australia,AUS,2020-06-30,2.00,0,,1.00,1,,1.00,0,,3.00,0,,1.00,0,,0.00,,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7767,104,52.31
Australia,AUS,2020-07-01,3.00,0,"9 postcodes within the state of Victoria have imposed lockdowns restricting the movement of residents to leave the house only for food or supplies, to work or study if you can't do it at home, give or receive care, exercise. In effect until 29 July.   http://archive.vn/wip/P5I9a  ",2.00,0,"9 postcodes within the state of Victoria have imposed lockdowns restricting the movement of residents to leave the house only for food or supplies, to work or study if you can't do it at home, give or receive care, exercise. in place until 29 July.   affected postcodes: 3012, 3021, 3032, 3038, 3042, 3046, 3047, 3055, 3060, 3064.         In other regions and states, most businesses have reopened with capacity regulations at 1 person per 2 square meters.     http://archive.vn/wip/P5I9a",2.00,0,"9 postcodes within the state of Victoria have imposed lockdowns restricting the movement of residents to leave the house only for food or supplies, to work or study if you can't do it at home, give or receive care, exercise. in place until 29 July.   affected postcodes: 3012, 3021, 3032, 3038, 3042, 3046, 3047, 3055, 3060, 3064.         In other regions and states, most businesses have reopened with capacity regulations at 1 person per 2 square meters.     http://archive.vn/wip/P5I9a  ",3.00,0,"Each state has their own limits to public gatherings. At latest, Victoria has the most strict limit to public gatherings: 50 ppl can attend a funeral, but all other events, restaurants, bars, etc are limited to 20 patrons, or participants.   What is unclear in the latest lockdown of postcodes in Victoria is what the limit to gathering size is- may assume it is under 10, in which case, this may be a 4? As this has not been specifically noted, I have coded this as a 3T for now.     http://archive.vn/wip/P5I9a  http://archive.vn/UhGEq",1.00,0,"July 1  Public transport capacity in NSW to double as of 1 July (Suggesting it has been limited up to this point). From July 1, there will be 68 passengers allowed on a Waratah train carriage, 23 on a bus and 450 on a Freshwater ferry. Forty people will be allowed on a light rail and 65 in a metro train. We are still encouraging people to travel outside the peak where possible,"" Premier Gladys Berejiklian said on Tuesday.  Source: http://archive.vn/k5s3z",2.00,0,"9 postcodes within the state of Victoria have imposed lockdowns restricting the movement of residents to leave the house only for food or supplies, to work or study if you can't do it at home, give or receive care, exercise. In place until 29 July   affected postcodes: 3012, 3021, 3032, 3038, 3042, 3046, 3047, 3055, 3060, 3064.         In other regions and states, most businesses have reopened with capacity regulations at 1 person per 2 square meters.     http://archive.vn/wip/P5I9a  ",2.00,0,"Australia’s federal government stepped up pressure on state and territory leaders on Friday to reopen internal borders, a step viewed as key to reviving the country’s coronavirus-hit economy    Opening up borders will ultimately be decided by the leaders of the respective States and territories. Queensland has a closed border to Victoria. Many states within AUS have regulations to who can and cannot cross into their state, especially if they have come from Victoria where there have been increased cases of COVID.     https://web.archive.org/web/20200622152123/https://www.reuters.com/article/health-coronavirus-australia/australian-pm-pushes-for-internal-borders-to-be-reopened-idUSL4N2DO4HP",4.00,The Australian international border remains closed to entry. Repatriation or anyone entering is subject to 14 day quarantine. https://web.archive.org/web/20200723051855/https://covid19.homeaffairs.gov.au/travel-restrictions-0,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7834,104,68.98
Australia,AUS,2020-07-02,3.00,0,,2.00,0,,2.00,0,,3.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,7920,104,68.98
